City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,umm lajj,25.0213,37.2685,295.92,59,0,3.79,SA,1667877469
1,itaituba,-4.2761,-55.9836,296.34,97,97,0.68,BR,1667877470
2,butaritari,3.0707,172.7902,300.12,73,17,2.05,KI,1667877470
3,filadelfia,39.9523,-75.1638,290.91,32,20,7.72,US,1667877437
4,miramar,25.9873,-80.2323,299.16,82,75,4.63,US,1667877471
5,tuktoyaktuk,69.4541,-133.0374,256.15,78,0,3.6,CA,1667877471
6,bredasdorp,-34.5322,20.0403,286.61,90,65,2.44,ZA,1667877471
7,gunjur,13.2019,-16.7339,299.87,64,100,5.01,GM,1667877472
8,nara,34.6851,135.8049,294.24,32,0,3.91,JP,1667877227
9,saint george,37.1041,-113.5841,291.45,37,75,7.2,US,1667877277
10,busselton,-33.65,115.3333,293.35,55,90,2.95,AU,1667877472
11,fortuna,40.5982,-124.1573,280.34,95,98,2.68,US,1667877426
12,albany,42.6001,-73.9662,282.39,58,4,0.45,US,1667877306
13,naron,43.5167,-8.1528,287.62,83,88,7.08,ES,1667877473
14,honjo,36.2333,139.1833,293.94,27,0,4.55,JP,1667877474
15,charters towers,-20.1,146.2667,304.99,28,0,2.78,AU,1667877474
16,puerto ayora,-0.7393,-90.3518,292.34,86,87,0.45,EC,1667877474
17,rikitea,-23.1203,-134.9692,296.38,92,100,7.16,PF,1667877475
18,mount isa,-20.7333,139.5,311.02,14,0,5.66,AU,1667877475
19,broome,42.2506,-75.833,281.74,67,75,7.2,US,1667877293
20,barrow,71.2906,-156.7887,270.16,80,100,10.8,US,1667877476
21,pevek,69.7008,170.3133,255.57,97,15,0.85,RU,1667877195
22,la ronge,55.1001,-105.2842,260.29,78,100,5.66,CA,1667877330
23,saldanha,-33.0117,17.9442,288.86,85,76,3.4,ZA,1667877476
24,kavaratti,10.5669,72.642,300.62,73,1,2.45,IN,1667877476
25,tessalit,20.1986,1.0114,294.34,19,3,4.16,ML,1667877227
26,victoria,22.2855,114.1577,297.73,85,94,4.02,HK,1667877257
27,adrar,20.5022,-10.0711,296.09,17,5,4.2,MR,1667877477
28,jamestown,42.097,-79.2353,279.92,72,0,3.6,US,1667877254
29,vilyuysk,63.7553,121.6247,252.09,88,61,2.08,RU,1667877477
30,airai,-8.9266,125.4092,297.91,53,74,0.29,TL,1667877425
31,carnarvon,-24.8667,113.6333,294.84,55,5,6.28,AU,1667877478
32,avarua,-21.2078,-159.775,297.18,69,100,3.6,CK,1667877478
33,port alfred,-33.5906,26.891,289.92,89,100,1.34,ZA,1667877479
34,craig,40.5153,-107.5464,280.94,49,0,4.63,US,1667877479
35,bambous virieux,-20.3428,57.7575,297.71,73,40,3.6,MU,1667877479
36,jinka,5.65,36.65,289.96,78,94,1.44,ET,1667877480
37,colchester,51.8892,0.9042,288.31,80,98,11.52,GB,1667877480
38,port elizabeth,-33.918,25.5701,289.99,91,0,6.69,ZA,1667877480
39,novyy urgal,51.0736,132.5642,271.14,64,22,1.22,RU,1667877481
40,hermanus,-34.4187,19.2345,287.98,86,62,2.86,ZA,1667877481
41,yellowknife,62.456,-114.3525,258.46,85,75,0.0,CA,1667877481
42,boyolangu,-8.1181,111.8935,300.49,78,89,1.36,ID,1667877482
43,petropavlovsk-kamchatskiy,53.0452,158.6483,273.48,69,75,2.0,RU,1667877482
44,mataura,-46.1927,168.8643,291.75,43,85,1.45,NZ,1667877482
45,dongzhen,22.3797,110.9389,297.13,71,80,0.9,CN,1667877483
46,saskylakh,71.9167,114.0833,242.14,98,48,2.11,RU,1667877483
47,college,64.8569,-147.8028,267.48,73,100,0.0,US,1667877483
48,leh,34.1667,77.5833,270.86,69,65,1.61,IN,1667877484
49,ayolas,-27.4,-56.9,289.81,63,2,4.21,PY,1667877484
50,thompson,55.7435,-97.8558,249.24,84,0,1.54,CA,1667877485
51,tiksi,71.6872,128.8694,255.68,91,100,7.7,RU,1667877485
52,sarulesti,44.4167,26.65,285.6,73,100,1.99,RO,1667877485
53,srednekolymsk,67.45,153.6833,256.3,97,100,4.63,RU,1667877486
54,aksarka,66.5606,67.7975,264.49,98,96,1.73,RU,1667877486
55,hithadhoo,-0.6,73.0833,301.29,75,22,7.89,MV,1667877487
56,islamkot,24.6997,70.177,298.04,35,1,2.99,PK,1667877487
57,nantucket,41.2835,-70.0995,290.21,45,0,8.23,US,1667877488
58,galesong,-5.3166,119.3661,304.16,64,92,2.59,ID,1667877488
59,kaitangata,-46.2817,169.8464,288.13,69,100,2.78,NZ,1667877488
60,cervo,43.6702,-7.4101,288.54,80,96,6.31,ES,1667877489
61,urusha,54.05,122.9,266.52,76,99,1.07,RU,1667877489
62,kapaa,22.0752,-159.319,301.14,79,40,7.72,US,1667877490
63,buala,-8.145,159.5921,301.85,78,62,3.68,SB,1667877490
64,hobart,-42.8794,147.3294,301.05,51,20,4.63,AU,1667877219
65,kununurra,-15.7667,128.7333,313.14,17,82,4.12,AU,1667877490
66,esperance,-33.8667,121.9,289.64,71,100,7.48,AU,1667877491
67,alofi,-19.0595,-169.9187,300.09,65,75,6.69,NU,1667877491
68,maragogi,-9.0122,-35.2225,297.01,85,11,1.1,BR,1667877492
69,mar del plata,-38.0023,-57.5575,289.19,93,0,6.26,AR,1667877206
70,benesat,47.4167,23.3,282.04,95,96,0.83,RO,1667877492
71,mount gambier,-37.8333,140.7667,299.91,36,0,1.2,AU,1667877493
72,chazuta,-6.5742,-76.1367,297.06,74,5,0.32,PE,1667877493
